Name,Organization,Issue Date,Url
Trilha Digital - Santander Coders 24 - Data Science,Ada Tech,06/2024,https://ada.tech/certificado?code=8c4ebfa0-8e0f-ae15-07e1-1454d07e742b
Anaconda Python for Data Science Professional,Anaconda Inc.,05/2024,https://www.linkedin.com/learning/certificates/b08ef158b8da2f144691338d2ff161d9779a687955328b713ab36898198c7bf1
Explore a Career in SQL Development,LinkedIn,05/2024,https://www.linkedin.com/learning/certificates/7c2cbf8d289ae0c8c8b7eb2ef16b4b68a62d4715fec0143ec317b8729af8d4ba
Meta Certified Digital Marketing Associate,Meta,05/2024,https://www.credly.com/badges/e422d6c6-5ae2-4f27-b661-0f66758c1626
CFI Corporate Finance Foundations Professional Certificate,Corporate Finance InstituteÂ®,04/2024,https://www.linkedin.com/learning/certificates/3b6cb8a7917c6446bc661362041e358a3b6a9bec759658b60c01a974908c4503
Google Data Analytics Specialization,Google,04/2024,https://www.credly.com/earner/earned/badge/b5150f12-0376-4e24-b5f6-e49828c805f8
OpenEDG Python Institute: Programming with Python Professional Certificate,OpenEDG Python Institute,04/2024,https://www.linkedin.com/learning/certificates/680511c34c8136e019d8ec9ce2717eb8c562dddde49053318c9279e8e987f74f
Zendesk Customer Service Professional Certificate,Zendesk,04/2024,https://www.linkedin.com/learning/certificates/50fb93f4bf163ae1e9a0c94e1fdeda2c962988e7f9bfe3b6b1e6c58c74de0c6a
Career Essentials in Data Analysis by Microsoft and LinkedIn,Microsoft,03/2024,https://www.linkedin.com/learning/certificates/bc5b2c4f4186093b40000826189b888fca30e9ede59a35259dbef6f016b6ead4
Career Essentials in Software Development by Microsoft and LinkedIn,Microsoft,03/2024,https://www.linkedin.com/learning/certificates/21672ff75a04339e1d831ba5a8cc913ef0a55f798fd2a3432c7836108dae98bc
